name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
TotalRevenue,"96,773,000,000","25,167,000,000","23,350,000,000","24,927,000,000","23,329,000,000","24,318,000,000","21,454,000,000","16,934,000,000","18,756,000,000","17,719,000,000","13,757,000,000","11,958,000,000","10,389,000,000","10,744,000,000","8,771,000,000","6,036,000,000","5,985,000,000","7,384,000,000","6,303,000,000","6,350,000,000","4,541,000,000","7,225,873,000","6,824,000,000","4,002,231,000","3,408,751,000","3,288,249,000","2,984,675,000","2,789,557,000","2,696,270,000","2,284,631,000","2,298,436,000","1,270,017,000","1,147,048,000","1,214,380,000","936,789,000","954,976,000","939,880,000","956,661,000","851,804,000","769,349,000","620,542,000","615,219,000","431,346,000","405,139,000","561,792,000","306,332,000","50,104,000","26,653,000","30,167,000","39,375,000","57,666,000","58,171,000","49,030,000","36,286,000","31,241,000","28,405,000","20,812,000","18,585,000","45,527,000","26,945,000","20,886,000","14,162,000"
	OperatingRevenue,"96,773,000,000","25,167,000,000","23,350,000,000","24,927,000,000","23,329,000,000","24,318,000,000","21,454,000,000","16,934,000,000","18,756,000,000","17,719,000,000","13,757,000,000","11,958,000,000","10,389,000,000","10,744,000,000","8,771,000,000","6,036,000,000","5,985,000,000","7,384,000,000","6,303,000,000","6,350,000,000","4,541,000,000","7,225,873,000","6,824,000,000","4,002,231,000","3,408,751,000","3,288,249,000","2,984,675,000","2,789,557,000","2,696,270,000","2,284,631,000","2,298,436,000","1,270,017,000","1,147,048,000","1,214,380,000","936,789,000","954,976,000","939,880,000","956,661,000","851,804,000","769,349,000","620,542,000","615,219,000","431,346,000","405,139,000","561,792,000","306,332,000","50,104,000","26,653,000","30,167,000","39,375,000","57,666,000","58,171,000","49,030,000","36,286,000","31,241,000","28,405,000","20,812,000","18,585,000","45,527,000","26,945,000","20,886,000","14,162,000"
CostOfRevenue,"79,113,000,000","20,729,000,000","19,172,000,000","20,394,000,000","18,818,000,000","18,541,000,000","16,072,000,000","12,700,000,000","13,296,000,000","12,872,000,000","10,097,000,000","9,074,000,000","8,174,000,000","8,678,000,000","6,708,000,000","4,769,000,000","4,751,000,000","5,993,000,000","5,112,000,000","5,429,000,000","3,975,000,000","5,782,973,000","5,300,000,000","3,383,301,000","2,952,225,000","2,849,463,000","2,535,535,000","2,122,942,000","2,028,324,000","1,849,353,000","1,661,701,000","995,241,000","894,580,000","995,816,000","705,293,000","741,606,000","679,807,000","694,964,000","599,953,000","556,354,000","465,414,000","458,630,000","328,478,000","304,656,000","465,472,000","282,475,000","58,865,000","21,891,000","19,957,000","31,540,000","40,442,000","39,663,000","31,002,000","24,965,000","21,945,000","22,144,000","16,960,000","16,804,000","37,828,000","24,844,000","22,932,000","15,864,000"
GrossProfit,"17,660,000,000","4,438,000,000","4,178,000,000","4,533,000,000","4,511,000,000","5,777,000,000","5,382,000,000","4,234,000,000","5,460,000,000","4,847,000,000","3,660,000,000","2,884,000,000","2,215,000,000","2,066,000,000","2,063,000,000","1,267,000,000","1,234,000,000","1,391,000,000","1,191,000,000","921,000,000","566,000,000","1,442,900,000","1,524,000,000","618,930,000","456,526,000","438,786,000","449,140,000","666,615,000","667,946,000","435,278,000","636,735,000","274,776,000","252,468,000","218,564,000","231,496,000","213,370,000","260,073,000","261,697,000","251,851,000","212,995,000","155,128,000","156,589,000","102,868,000","100,483,000","96,320,000","23,857,000","-8,761,000","4,762,000","10,210,000","7,835,000","17,224,000","18,508,000","18,028,000","11,321,000","9,296,000","6,261,000","3,852,000","1,781,000","7,699,000","2,101,000","-2,046,000","-1,702,000"
OperatingExpense,"8,769,000,000","2,374,000,000","2,414,000,000","2,134,000,000","1,847,000,000","1,842,000,000","1,694,000,000","1,628,000,000","1,857,000,000","2,234,000,000","1,605,000,000","1,549,000,000","1,722,000,000","1,491,000,000","1,254,000,000","940,000,000","951,000,000","1,044,000,000","930,000,000","971,000,000","1,044,000,000","1,023,749,000","1,081,000,000","1,136,888,000","1,053,500,000","1,036,927,000","984,620,000","907,531,000","925,495,000","701,976,000","551,113,000","512,816,000","500,692,000","478,897,000","415,158,000","383,558,000","362,519,000","336,535,000","290,980,000","241,748,000","199,095,000","169,942,000","133,422,000","112,275,000","101,904,000","114,740,000","99,699,000","110,937,000","98,973,000","88,762,000","81,701,000","77,247,000","65,374,000","62,966,000","47,130,000","37,623,000","29,850,000","24,706,000","11,990,000","10,188,000","14,548,000","21,522,000"
	SellingGeneralAndAdministration,"4,800,000,000","1,280,000,000","1,253,000,000","1,191,000,000","1,076,000,000","1,032,000,000","961,000,000","961,000,000","992,000,000","1,494,000,000","994,000,000","973,000,000","1,056,000,000","969,000,000","888,000,000","661,000,000","627,000,000","699,000,000","596,000,000","647,000,000","704,000,000","667,452,000","730,000,000","750,759,000","686,404,000","682,290,000","652,998,000","537,757,000","603,455,000","456,016,000","336,811,000","321,152,000","318,210,000","288,654,000","236,367,000","201,846,000","195,365,000","196,970,000","155,107,000","134,031,000","117,551,000","101,489,000","77,071,000","59,963,000","47,045,000","45,908,000","37,798,000","36,083,000","30,582,000","27,557,000","27,618,000","24,716,000","24,212,000","25,349,000","20,432,000","22,207,000","16,585,000","16,563,000","10,733,000","8,247,000","6,607,000","9,696,000"
	ResearchAndDevelopment,"3,969,000,000","1,094,000,000","1,161,000,000","943,000,000","771,000,000","810,000,000","733,000,000","667,000,000","865,000,000","740,000,000","611,000,000","576,000,000","666,000,000","522,000,000","366,000,000","279,000,000","324,000,000","345,000,000","334,000,000","324,000,000","340,000,000","356,297,000","351,000,000","386,129,000","367,096,000","354,637,000","331,622,000","369,774,000","322,040,000","245,960,000","214,302,000","191,664,000","182,482,000","190,243,000","178,791,000","181,712,000","167,154,000","139,565,000","135,873,000","107,717,000","81,544,000","68,453,000","56,351,000","52,312,000","54,859,000","68,832,000","61,901,000","74,854,000","68,391,000","61,205,000","54,083,000","52,531,000","41,162,000","37,617,000","26,698,000","15,416,000","13,265,000","8,143,000","1,257,000","1,941,000","7,941,000","11,826,000"
OperatingIncome,"8,891,000,000","2,064,000,000","1,764,000,000","2,399,000,000","2,664,000,000","3,935,000,000","3,688,000,000","2,606,000,000","3,603,000,000","2,613,000,000","2,055,000,000","1,335,000,000","493,000,000","575,000,000","809,000,000","327,000,000","283,000,000","347,000,000","261,000,000","-50,000,000","-478,000,000","419,151,000","443,000,000","-517,958,000","-596,974,000","-598,141,000","-535,480,000","-240,916,000","-257,549,000","-266,698,000","85,622,000","-238,040,000","-248,224,000","-260,333,000","-183,662,000","-170,188,000","-102,446,000","-74,838,000","-39,129,000","-28,753,000","-43,967,000","-13,353,000","-30,554,000","-11,792,000","-5,584,000","-90,883,000","-108,460,000","-106,175,000","-88,763,000","-80,927,000","-64,477,000","-58,739,000","-47,346,000","-51,645,000","-37,834,000","-31,362,000","-25,998,000","-22,925,000","-4,291,000","-8,087,000","-16,594,000","-23,224,000"
NetNonOperatingInterestIncomeExpense,"910,000,000","272,000,000","244,000,000","210,000,000","184,000,000","124,000,000","33,000,000","-18,000,000","-33,000,000","-46,000,000","-116,000,000","-64,000,000","-89,000,000","-240,000,000","-157,000,000","-162,000,000","-159,000,000","-160,000,000","-170,000,000","-162,000,000","-149,000,000","-167,375,000","-168,000,000","-158,518,000","-144,332,000","-140,083,000","-111,578,000","-103,656,000","-96,256,000","-62,925,000","-43,855,000","-44,126,000","-39,374,000","-37,867,000","-28,981,000","-24,105,000","-26,390,000","-28,484,000","-28,762,000","-30,771,000","-11,742,000","-6,137,000","-6,424,000","-20,077,000","-108,000","59,000","-40,000","-10,000","25,000","46,000","80,000","46,000","40,000","63,000","-198,000","-417,000","-182,000","37,000","34,000","-1,057,000","-1,386,000","-1,056,000"
	InterestIncomeNonOperating,"1,066,000,000","333,000,000","282,000,000","238,000,000","213,000,000","157,000,000","86,000,000","26,000,000","28,000,000","25,000,000","10,000,000","11,000,000","10,000,000","6,000,000","6,000,000","8,000,000","10,000,000","10,000,000","15,000,000","10,000,000","9,000,000","7,348,000","7,000,000","5,064,000","5,214,000","6,280,000","5,531,000","4,785,000","3,090,000","2,179,000","2,858,000","2,242,000","1,251,000","750,000","327,000","247,000","184,000","219,000","300,000","467,000","141,000","92,000","68,000","39,000","10,000","85,000","38,000","74,000","90,000","89,000","80,000","46,000","40,000","63,000","100,000","47,000","48,000","62,000","52,000","29,000","16,000","43,000"
	InterestExpenseNonOperating,"156,000,000","61,000,000","38,000,000","28,000,000","29,000,000","33,000,000","53,000,000","44,000,000","61,000,000","71,000,000","126,000,000","75,000,000","99,000,000","246,000,000","163,000,000","170,000,000","169,000,000","170,000,000","185,000,000","172,000,000","158,000,000","174,723,000","175,000,000","163,582,000","149,546,000","146,363,000","117,109,000","108,441,000","99,346,000","65,104,000","46,713,000","46,368,000","40,625,000","38,617,000","29,308,000","24,352,000","26,574,000","28,703,000","29,062,000","31,238,000","11,883,000","6,229,000","6,492,000","20,116,000","118,000","26,000","78,000","84,000","65,000","43,000","0","0","0","0","298,000","464,000","230,000","25,000","18,000","1,086,000","1,402,000","1,099,000"
OtherIncomeExpense,"172,000,000","-145,000,000","37,000,000","328,000,000","-48,000,000","-76,000,000","-85,000,000","-114,000,000","56,000,000","68,000,000","-57,000,000","22,000,000","129,000,000","44,000,000","-97,000,000","-15,000,000","-54,000,000","-13,000,000","85,000,000","-158,000,000","-18,000,000","-19,820,000","-4,000,000","-52,523,000","-37,716,000","-41,677,000","-24,390,000","-41,208,000","-18,098,000","121,224,000","-11,756,000","-7,373,000","9,177,000","-17,149,000","-15,431,000","13,233,000","-22,305,000","-588,000","-3,090,000","-1,226,000","6,718,000","4,584,000","-740,000","1,668,000","17,091,000","745,000","-2,188,000","691,000","-1,076,000","-496,000","-594,000","-71,000","-1,485,000","187,000","3,180,000","-6,729,000","-3,221,000","-1,125,000","-577,000","-1,715,000","1,972,000","-1,194,000"
